DRUG_TYPE,DRUG_DESCRIPTOR,TARGET_TYPE,TWEET_COUNT,COMPANY_TYPE,NUMBER_OF_MONTHS,MARKET_CAP,CAGR_2,CAGR_5,STATUS,HIGHEST_DEV_STAGE,THERAPY_AREA,INDICATION,MOL_TYPE,TRIAL_COUNT,PUBLIC_NEWS,PUBLICATION_COUNT,DEALS,DEAL_STATUS,DEAL_AMOUNT,DEAL_TYPE,ACQUIRED,HOT/NOT
1,7,19,64,2,66,150717,104.182,33.047,4,7,4,15,8,45,11,1207,24,1,0,1,0,1
2,9,2,10,0,0,0,0,0,2,3,8,19,8,0,0,30495,0,6,0,6,0,0
1,1,19,64,2,0,323.82,70.343,23.746,8,9,4,15,8,2,15,1207,3,1,4.03,3,0,1
1,7,18,46,1,0,0,0,0,8,9,8,6,2,0,0,659,2,1,46.5,8,0,1
1,7,11,0,2,0,90,-59.179,-30.12,2,3,8,4,6,0,0,180963,3,1,71.35,10,0,0
1,7,1,200,2,0,81.34,-59.179,-30.12,2,3,8,18,6,0,0,47302,4,1,72,3,0,0
1,9,6,0,2,0,53377.31,-11.486,-4.763,2,3,4,5,6,0,0,532,0,6,0,6,0,1
1,14,14,1000,2,0,228761.95,86,28.176,4,6,8,19,5,1,0,21317,0,6,0,6,0,1
1,4,13,0,2,0,976.13,-45.767,-21.71,2,3,8,4,8,0,0,0,1,1,268.48,3,0,0
1,7,12,140,1,0,0,0,0,2,3,8,19,6,0,0,180963,3,3,252,3,0,0
1,13,18,46,2,31,26949.35,325.75,78.5,4,5,8,6,6,2,4,659,0,6,0,6,0,1
1,4,13,0,1,0,0,0,0,2,3,8,4,7,0,0,0,1,1,0.51,10,0,0
1,14,18,46,1,0,0,0,0,8,9,8,18,6,0,0,659,0,6,0,6,0,1
1,13,13,0,1,0,0,0,0,2,3,8,19,2,0,0,0,0,6,0,6,0,0
1,7,13,0,1,0,0,0,0,2,3,8,4,3,3,0,0,1,1,89,10,0,0
1,10,0,0,2,156,200,-57.512,-28.99,5,7,0,12,8,0,0,12421,19,1,8654.65,0,1,1
1,9,0,0,2,0,202097,169.431,48.655,1,0,6,3,8,1,0,12421,0,6,0,6,0,1
1,13,1,200,2,0,81.34,-59.179,-30.12,2,3,8,4,6,0,0,47302,6,3,314.5,3,0,0
1,5,13,0,2,0,174.33,-99.637,-89.436,2,3,8,19,10,0,1,0,15,1,82.95,3,0,0
1,0,13,0,1,0,0,0,0,2,3,8,19,3,5,0,0,9,1,1.9,4,0,0
1,4,2,10,1,0,0,0,0,2,3,8,4,8,0,0,30495,0,6,0,6,0,0
1,13,17,30,1,0,0,0,0,8,9,8,18,6,0,0,952,1,1,0,5,0,1
1,5,14,1000,2,0,159874.39,242.103,63.55,1,0,8,19,0,1,0,21317,1,1,781,7,0,1
1,9,13,0,2,0,8533.45,112.401,35.165,2,3,8,4,8,0,0,0,1,1,381.51,3,0,0
